lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2,dist_capital_km,dist_bratislava_km,dist_uni_km,dist_airport_km,dist_motorway_km,dist_railway_km,urban_class,density_class,is_regional_capital,econ_proximity,econ_potential,edu_access_score,edu_infra_score,transport_score,connectivity_score,remoteness_index
514845,SK_514845,Hodejovec,SK032,Banskobystrický kraj,158.0,13.95004277,11.32613015,81.4,215.0,71.2,75.9,76.6,73.0,Small Village (<1K),Sparse (<100/km²),No,18.6,100,0,44.0,24.7,17.9,82.1
519677,SK_519677,Oľšavce,SK041,Prešovský kraj,158.0,31.1914491,5.06549085,24.4,334.1,24.4,60.5,53.9,24.7,Small Village (<1K),Sparse (<100/km²),No,75.6,36.3,63.4,44.0,54.7,62.7,37.3
510165,SK_510165,Veličná,SK031,Žilinský kraj,1577.0,53.77734501,29.32461615,35.2,196.6,18.6,66.4,21.0,18.5,Large Village (1K-5K),Sparse (<100/km²),No,64.8,100,72.1,64.0,72.3,70.0,30.0
512885,SK_512885,Bolešov,SK022,Trenčiansky kraj,1574.0,105.21517287,14.95981955,13.7,121.3,13.7,47.6,27.7,13.9,Large Village (1K-5K),Medium (100-500/km²),No,86.3,100,79.5,63.9,73.6,78.6,21.4
510548,SK_510548,Komjatná,SK031,Žilinský kraj,1573.0,108.13846343,14.54616563,38.1,192.2,8.6,56.7,10.9,8.6,Large Village (1K-5K),Medium (100-500/km²),No,61.9,100,87.1,63.9,82.2,77.1,22.9
510637,SK_510637,Liptovská Osada,SK031,Žilinský kraj,1573.0,31.33187377,50.20446628,50.6,179.9,17.7,32.5,14.9,17.8,Large Village (1K-5K),Sparse (<100/km²),No,49.4,100,73.5,63.9,81.2,70.1,29.9
517038,SK_517038,Lovčica-Trubín,SK032,Banskobystrický kraj,1571.0,45.40941907,34.59634658,31.4,133.2,28.7,27.0,31.8,26.9,Large Village (1K-5K),Sparse (<100/km²),No,68.6,100,57.0,63.9,70.6,67.3,32.7
557561,SK_557561,Čelkova Lehota,SK022,Trenčiansky kraj,157.0,42.37408675,3.7050946,37.2,141.4,28.6,60.9,9.7,28.6,Small Village (<1K),Sparse (<100/km²),No,62.8,100,57.1,44.0,75.5,68.0,32.0
512257,SK_512257,Folkušová,SK031,Žilinský kraj,157.0,26.10655754,6.01381472,32.1,163.8,28.2,39.3,17.6,28.3,Small Village (<1K),Sparse (<100/km²),No,67.9,100,57.7,44.0,75.2,69.5,30.5
515248,SK_515248,Orávka,SK032,Banskobystrický kraj,157.0,21.88555687,7.17368084,89.7,229.3,81.8,84.0,69.8,74.5,Small Village (<1K),Sparse (<100/km²),No,10.3,93.8,0,44.0,26.3,16.2,83.8
524808,SK_524808,Lúčina,SK041,Prešovský kraj,157.0,82.94182196,1.89289307,18.1,328.6,18.1,28.8,23.0,18.1,Small Village (<1K),Sparse (<100/km²),No,81.9,39.2,72.8,44.0,77.7,78.0,22.0
503070,SK_503070,Bešeňov,SK023,Nitriansky kraj,1569.0,91.81470672,17.08876558,32.6,87.3,32.6,72.7,33.6,25.6,Large Village (1K-5K),Sparse (<100/km²),No,67.4,100,51.1,63.9,62.6,61.7,38.3
527041,SK_527041,Šarišské Jastrabie,SK041,Prešovský kraj,1569.0,73.36671201,21.38572054,35.7,305.6,35.7,53.3,47.1,35.7,Large Village (1K-5K),Sparse (<100/km²),No,64.3,75.4,46.4,63.9,55.7,56.4,43.6
525383,SK_525383,Varhaňovce,SK041,Prešovský kraj,1569.0,187.70396431,8.3589071,18.1,323.2,17.5,23.2,17.2,16.8,Large Village (1K-5K),Medium (100-500/km²),No,81.9,61.4,73.8,63.9,81.9,80.3,19.7
517551,SK_517551,Gbeľany,SK031,Žilinský kraj,1567.0,219.78933306,7.12955437,8.3,175.0,8.3,68.0,2.4,8.2,Large Village (1K-5K),Medium (100-500/km²),No,91.7,100,87.5,63.9,84.7,87.4,12.6
503924,SK_503924,Mostová,SK021,Trnavský kraj,1566.0,62.26086889,25.15223491,31.2,40.4,31.2,33.2,26.8,31.0,Large Village (1K-5K),Sparse (<100/km²),No,68.8,100,53.2,63.9,70.7,66.6,33.4
526665,SK_526665,Stará Ľubovňa,SK041,Prešovský kraj,15628.0,507.63387094,30.78596779,53.6,293.9,53.6,43.3,48.3,38.8,Town (5K-50K),Dense (>500/km²),No,46.4,100,19.6,83.9,55.7,45.7,54.3
503843,SK_503843,Kajal,SK021,Trnavský kraj,1561.0,112.94347276,13.82107316,25.1,51.0,25.0,43.0,19.0,24.8,Large Village (1K-5K),Medium (100-500/km²),No,74.9,100,62.5,63.9,75.1,72.5,27.5
513997,SK_513997,Handlová,SK022,Trenčiansky kraj,15608.0,182.37128667,85.58364798,54.7,134.6,31.3,30.4,26.1,31.4,Town (5K-50K),Medium (100-500/km²),No,45.3,100,53.0,83.9,71.4,59.9,40.1
580937,SK_580937,Bohunice (okres Levice),SK023,Nitriansky kraj,156.0,12.16388559,12.82484933,49.9,124.2,38.3,42.3,2.3,34.3,Small Village (<1K),Sparse (<100/km²),No,50.1,100,42.6,43.9,80.4,63.8,36.2
520152,SK_520152,Dedačov,SK041,Prešovský kraj,156.0,27.12242235,5.75169865,54.4,371.9,54.4,68.4,64.2,54.7,Small Village (<1K),Sparse (<100/km²),No,45.6,15.4,18.4,43.9,38.3,36.5,63.5
521400,SK_521400,Haniska (okres Košice - okolie),SK042,Košický kraj,1557.0,90.04360354,17.29162249,10.8,310.6,10.8,4.9,11.1,11.3,Large Village (1K-5K),Sparse (<100/km²),No,89.2,71.4,83.8,63.9,89.9,88.5,11.5
